Date,Apple,Amazon
1981-06-29,-0.02574951362079736,0.0
1981-06-30,-0.07111445176644449,0.0
1981-07-01,-0.004807859430212114,0.0
1981-07-02,0.0,0.0
1981-07-06,-0.024270880222603597,0.0
1981-07-07,0.010050069872268086,0.0
1981-07-08,0.03979874497309144,0.0
1981-07-09,-0.07176574992110518,0.0
1981-07-10,-0.07254383247465279,0.0
1981-07-13,0.02248043171387848,0.0
1981-07-14,0.043953368087965794,0.0
1981-07-15,0.0263140401209363,0.0
1981-07-16,0.025639364845710944,0.0
1981-07-17,0.03499746318612651,0.0
1981-07-20,-0.06279760086863362,0.0
1981-07-21,-1.9393469452566592e-07,0.0
1981-07-22,-0.04687206437426872,0.0
1981-07-23,0.02763243965817619,0.0
1981-07-24,0.032256216763550505,0.0
1981-07-27,0.04166390706249823,0.0
